,base_score,lr,reg_alpha,reg_lambda,test_accuracy,train_accuracy
145,0.4,0.01,1.0,0.8,0.9946247262592076,0.996913887506222
146,0.5,0.01,1.0,0.8,0.9928329683456102,0.9949726231956197
147,0.6,0.01,1.0,0.8,0.9944256420465857,0.9966650074664012
148,0.4,0.01,1.0,1.0,0.9946247262592076,0.9967645594823296
149,0.5,0.01,1.0,1.0,0.9926338841329883,0.9949726231956197
150,0.6,0.01,1.0,1.0,0.9942265578339637,0.9960676953708313
151,0.4,0.001,0.0,0.0,0.9625721680270755,0.9594823295171727
152,0.5,0.001,0.0,0.0,0.9749153892096357,0.9733698357391737
153,0.6,0.001,0.0,0.0,0.9753135576348796,0.9733698357391737
154,0.4,0.001,0.0,0.2,0.9625721680270755,0.9594823295171727
