model_id,base_score,lr,reg_alpha,reg_lambda,test_accuracy
412,0.4,0.25,0.5,0.5,0.9946247262592076
413,0.5,0.25,0.5,0.5,0.9952219788970734
414,0.6,0.25,0.5,0.5,0.9954210631096954
415,0.4,0.25,0.5,0.8,0.9950228946844515
416,0.5,0.25,0.5,0.8,0.9946247262592076
417,0.6,0.25,0.5,0.8,0.9946247262592076
418,0.4,0.25,0.5,1.0,0.9950228946844515
419,0.5,0.25,0.5,1.0,0.9948238104718296
420,0.6,0.25,0.5,1.0,0.9942265578339637
421,0.4,0.25,0.8,0.0,0.9954210631096954
422,0.5,0.25,0.8,0.0,0.9944256420465857
423,0.6,0.25,0.8,0.0,0.9950228946844515
424,0.4,0.25,0.8,0.2,0.9950228946844515
425,0.5,0.25,0.8,0.2,0.9952219788970734
426,0.6,0.25,0.8,0.2,0.9956201473223173
427,0.4,0.25,0.8,0.5,0.9948238104718296
428,0.5,0.25,0.8,0.5,0.9950228946844515
429,0.6,0.25,0.8,0.5,0.9948238104718296
430,0.4,0.25,0.8,0.8,0.9952219788970734
431,0.5,0.25,0.8,0.8,0.9954210631096954
432,0.6,0.25,0.8,0.8,0.9950228946844515
433,0.4,0.25,0.8,1.0,0.9944256420465857
434,0.5,0.25,0.8,1.0,0.9950228946844515
435,0.6,0.25,0.8,1.0,0.9952219788970734
436,0.4,0.25,1.0,0.0,0.9948238104718296
437,0.5,0.25,1.0,0.0,0.9956201473223173
438,0.6,0.25,1.0,0.0,0.9950228946844515
439,0.4,0.25,1.0,0.2,0.9952219788970734
440,0.5,0.25,1.0,0.2,0.9952219788970734
441,0.6,0.25,1.0,0.2,0.9956201473223173
442,0.4,0.25,1.0,0.5,0.9954210631096954
443,0.5,0.25,1.0,0.5,0.9960183157475612
444,0.6,0.25,1.0,0.5,0.9950228946844515
445,0.4,0.25,1.0,0.8,0.9948238104718296
446,0.5,0.25,1.0,0.8,0.9952219788970734
447,0.6,0.25,1.0,0.8,0.9950228946844515
448,0.4,0.25,1.0,1.0,0.9946247262592076
449,0.5,0.25,1.0,1.0,0.9958192315349392
450,0.6,0.25,1.0,1.0,0.9952219788970734
451,0.4,0.025,0.0,0.0,0.9952219788970734
452,0.5,0.025,0.0,0.0,0.9952219788970734
453,0.6,0.025,0.0,0.0,0.9950228946844515
454,0.4,0.025,0.0,0.2,0.9954210631096954
455,0.5,0.025,0.0,0.2,0.9956201473223173
456,0.6,0.025,0.0,0.2,0.9954210631096954
457,0.4,0.025,0.0,0.5,0.9958192315349392
458,0.5,0.025,0.0,0.5,0.9954210631096954
459,0.6,0.025,0.0,0.5,0.9956201473223173
460,0.4,0.025,0.0,0.8,0.9950228946844515
461,0.5,0.025,0.0,0.8,0.9954210631096954
462,0.6,0.025,0.0,0.8,0.9950228946844515
463,0.4,0.025,0.0,1.0,0.9956201473223173
464,0.5,0.025,0.0,1.0,0.9960183157475612
465,0.6,0.025,0.0,1.0,0.9952219788970734
466,0.4,0.025,0.2,0.0,0.9954210631096954
467,0.5,0.025,0.2,0.0,0.9948238104718296
468,0.6,0.025,0.2,0.0,0.9948238104718296
469,0.4,0.025,0.2,0.2,0.9954210631096954
470,0.5,0.025,0.2,0.2,0.9956201473223173
471,0.6,0.025,0.2,0.2,0.9952219788970734
472,0.4,0.025,0.2,0.5,0.9956201473223173
473,0.5,0.025,0.2,0.5,0.9954210631096954
474,0.6,0.025,0.2,0.5,0.9950228946844515
475,0.4,0.025,0.2,0.8,0.9956201473223173
476,0.5,0.025,0.2,0.8,0.9956201473223173
477,0.6,0.025,0.2,0.8,0.9958192315349392
478,0.4,0.025,0.2,1.0,0.9952219788970734
479,0.5,0.025,0.2,1.0,0.9954210631096954
480,0.6,0.025,0.2,1.0,0.9956201473223173
481,0.4,0.025,0.5,0.0,0.9952219788970734
482,0.5,0.025,0.5,0.0,0.9956201473223173
483,0.6,0.025,0.5,0.0,0.9954210631096954
484,0.4,0.025,0.5,0.2,0.9954210631096954
485,0.5,0.025,0.5,0.2,0.9956201473223173
486,0.6,0.025,0.5,0.2,0.9960183157475612
487,0.4,0.025,0.5,0.5,0.9958192315349392
488,0.5,0.025,0.5,0.5,0.9956201473223173
489,0.6,0.025,0.5,0.5,0.9958192315349392
490,0.4,0.025,0.5,0.8,0.9954210631096954
491,0.5,0.025,0.5,0.8,0.9958192315349392
492,0.6,0.025,0.5,0.8,0.9956201473223173
493,0.4,0.025,0.5,1.0,0.9956201473223173
494,0.5,0.025,0.5,1.0,0.9956201473223173
495,0.6,0.025,0.5,1.0,0.9960183157475612
496,0.4,0.025,0.8,0.0,0.9954210631096954
497,0.5,0.025,0.8,0.0,0.9956201473223173
498,0.6,0.025,0.8,0.0,0.9960183157475612
499,0.4,0.025,0.8,0.2,0.9956201473223173
500,0.5,0.025,0.8,0.2,0.9952219788970734
501,0.6,0.025,0.8,0.2,0.9956201473223173
502,0.4,0.025,0.8,0.5,0.9954210631096954
503,0.5,0.025,0.8,0.5,0.9954210631096954
504,0.6,0.025,0.8,0.5,0.9956201473223173
505,0.4,0.025,0.8,0.8,0.9954210631096954
506,0.5,0.025,0.8,0.8,0.9954210631096954
507,0.6,0.025,0.8,0.8,0.9954210631096954
508,0.4,0.025,0.8,1.0,0.9958192315349392
509,0.5,0.025,0.8,1.0,0.9950228946844515
510,0.6,0.025,0.8,1.0,0.9956201473223173
511,0.4,0.025,1.0,0.0,0.9960183157475612
